State,County,Life expectancy,Premature age-adjusted mortality,Child mortality,Infant mortality,Frequent physical distress,Diabetes prevalence,HIV prevalence,Food insecurity,Limited access to healthy foods,Drug overdose deaths,Motor vehicle crash deaths,Insufficient sleep,Uninsured adults,Other primary care providers,High school graduation,Disconnected youth,Reading scores,Math scores,School segregation,School funding adequacy,Gender pay gap,Median household income,Children eligible for free or reduced price lunch,Residential segregation - Black/white,Childcare cost burden,Childcare centers,Homicides,Suicides,Firearm fatalities,Juvenile arrests,Traffic volume,Homeownership,Severe housing cost burden,Broadband access,Population,% female,% rural
State,County,Life Expectancy,# Deaths,# Deaths,# Deaths,% Frequent Physical Distress,% Adults with Diabetes,# HIV Cases,# Food Insecure,# Limited Access,# Drug Overdose Deaths,# Motor Vehicle Deaths,% Insufficient Sleep,# Uninsured,Other Primary Care Provider Rate,High School Graduation Rate,% Disconnected Youth,Average Grade Performance,Average Grade Performance,Segregation index,Spending per-pupil,Gender Pay Gap,Median Household Income,% Enrolled in Free or Reduced Lunch,Segregation index,% household income required for childcare expenses,# childcare centers,Homicide Rate,# Deaths,# Firearm Fatalities,Juvenile Arrest Rate,Traffic Volume,# Homeowners,# Households with Severe Cost Burden,% Broadband Access,Population,% female,# rural residents
Illinois,Putnam,80.8,86.0,,,11,9,0.0,540,3.0,,,34,231.0,17.0,,,2.9,3.1,0.02,15251.0,0.61,70070.0,35.0,,20.0,1.0,,,,0.0,3,1976,159.0,83,5716,49.4,6006.0
Illinois,Randolph,77.0,511.0,16.0,,14,11,41.0,3490,1505.0,14.0,66.0,37,1239.0,86.0,,,3.0,3.0,0.13,13313.0,0.67,56867.0,50.0,79.0,28.0,10.0,,21.0,10.0,6.0,78,8848,708.0,79,31351,44.8,14275.0
Illinois,Richland,76.7,272.0,,,13,10,,2070,441.0,,22.0,35,797.0,64.0,,,2.9,3.0,0.01,11124.0,0.87,56900.0,50.0,,25.0,4.0,,14.0,10.0,38.0,88,4776,427.0,82,15507,50.9,7056.0
Illinois,Rock Island,77.4,2105.0,67.0,82.0,12,10,244.0,15750,8831.0,61.0,83.0,36,7651.0,107.0,,7.0,2.6,2.6,0.13,13551.0,0.78,58022.0,59.0,47.0,28.0,35.0,8.0,113.0,65.0,12.0,332,41169,6143.0,85,140907,50.8,16112.0
Illinois,St. Clair,75.6,4143.0,191.0,210.0,13,11,717.0,27690,35090.0,242.0,242.0,38,13388.0,102.0,,10.0,2.9,2.9,0.26,14098.0,0.78,61863.0,53.0,60.0,26.0,60.0,16.0,150.0,299.0,6.0,268,68919,13781.0,80,258046,51.8,26343.0
Illinois,Saline,73.2,511.0,20.0,,15,11,,3880,1609.0,19.0,27.0,36,1207.0,142.0,,,2.9,2.4,0.07,12050.0,0.82,45793.0,58.0,72.0,33.0,7.0,,25.0,17.0,16.0,51,7529,1200.0,73,23182,50.8,10878.0
Illinois,Sangamon,77.7,2767.0,102.0,111.0,12,10,339.0,22010,11764.0,138.0,131.0,35,8942.0,209.0,,8.0,2.9,2.9,0.19,11589.0,0.84,60541.0,42.0,56.0,27.0,42.0,6.0,155.0,108.0,13.0,311,58861,10163.0,81,193882,52.1,27895.0
Illinois,Schuyler,76.4,114.0,,,13,10,,990,470.0,,12.0,35,334.0,45.0,,,2.6,2.7,0.02,,0.96,53686.0,49.0,,24.0,1.0,,,,10.0,46,2099,160.0,84,6738,47.7,4348.0
Illinois,Scott,78.1,71.0,,,13,9,0.0,560,1061.0,,,35,192.0,20.0,,,2.4,2.7,,13083.0,0.82,59285.0,48.0,,19.0,,,,,0.0,4,1628,77.0,82,4950,50.7,5355.0
Illinois,Shelby,79.3,300.0,11.0,,13,9,6.0,2180,1335.0,12.0,30.0,35,855.0,56.0,,,3.4,3.3,0.1,12324.0,0.78,64508.0,44.0,79.0,21.0,2.0,,14.0,10.0,9.0,48,7350,548.0,77,21299,50.3,17383.0
