State,County,State_County,Life_expectancy,Deaths_Premature_age_adjusted_mortality,Child_mortality_deaths,Infant_mortality_deaths,percentage_Frequent_Physical_Distress,percentage_Adults_with_Diabetes,HIV_Cases,Food_insecurity,Limited_access_to_healthy_foods,Drug_overdose_deaths,Motor_vehicle_crash_deaths,percentage_Insufficient_Sleep,Uninsured_adults,Other_Primary_Care_Provider_Rate,High_School_Graduation_Rate,percentage_Disconnected_Youth,Average_Grade_Performance_Reading_scores,Average_Grade_Performance_Math_scores,Segregation_index_School_segregation,Spending_perpupil_School_funding_adequacy,Gender_pay_gap,Median_household_income,percentage_Enrolled_in_Free_or_Reduced_Lunch_Children_eligible_for_free_or_reduced_price_lunch,Segregation_index_Residential_segregation_Black_white,percentage_household_income_required_for_childcare_expenses_Childcare_cost_burden,Childcare_centers,Homicide_Rate,Suicides,Firearm_fatalities,Juvenile_Arrest_Rate,Traffic_Volume,Homeowners,Severe_housing_cost_burden,percentage_Broadband_Access,Population,percentage_female,rural_residents
Georgia,Ware,Georgia_Ware,72.4,811,19,22,18,14,170,5950,4854,21,55,40,3967,226,86,9.393120393,3.1,2.9,0.03,11214,0.87,39994,83,50,24,16,8,30,26,20,158,8693,1702,69,35826,50,10691
Georgia,Warren,Georgia_Warren,73.1,139,71.92515924,115.0238291,19,17,21,810,72,125.2815804,16,44,530,57,88.27858293,9.393120393,2.3,2.2,0.01,15081,0.71,40422,100,2,24,3,29,94.68310727,87.70101277,24.62576375,1,1502,185,52,5232,53.4,5834
Georgia,Washington,Georgia_Washington,74.5,411,71.92515924,115.0238291,17,15,46,3030,2741,125.2815804,42,44,2042,69,90,21,2.7,2.5,0,10881,0.8,43309,86,23,22,12,7,13,15,24.62576375,61,5147,1256,69,20150,48.8,13899
Georgia,Wayne,Georgia_Wayne,73.3,623,21,115.0238291,17,13,93,4090,2517,16,47,40,3562,93,94,9.393120393,3,2.9,0.03,10451,0.81,48885,70,47,20,13,7,31,25,24.62576375,87,6586,908,75,30023,49,17439
Georgia,Webster,Georgia_Webster,79.1,53,71.92515924,115.0238291,16,14,376.6380917,370,31,125.2815804,97.09736158,42,290,0,88.27858293,9.393120393,3,2.3,0.01,13756,0.85,45381,90,5,21,40.30616369,7.185520362,94.68310727,87.70101277,24.62576375,8,972,111,67,2595,50.8,2799
Georgia,Wheeler,Georgia_Wheeler,78.3,107,71.92515924,115.0238291,18,15,29,1410,235,125.2815804,14,43,558,39,88,9.393120393,2.8,2.7,0,12127,1.48,36671,90,14,26,2,7.185520362,94.68310727,87.70101277,24.62576375,25,1231,150,47,7751,35.2,7421
Georgia,White,Georgia_White,78.1,463,16,115.0238291,14,10,21,3820,6057.917337,21,38,35,3744,48,91,9.393120393,3.4,3.3,0.03,11724,0.77,58831,52,75,16,13,7.185520362,35,28,24.62576375,24,8933,1068,77,31094,51.1,22745
Georgia,Whitfield,Georgia_Whitfield,77.2,1392,46,49,16,13,149,13160,13742,46,96,37,17630,156,85,7,2.9,2.7,0.14,10844,0.86,56249,70,32,20,41,2,78,57,29,210,23988,3339,83,103837,50.3,29833
Georgia,Wilcox,Georgia_Wilcox,75.2,170,71.92515924,115.0238291,17,15,49,1340,474,125.2815804,97.09736158,42,703,24,93,9.393120393,2.8,3,0.01,12661,0.85,40856,88,23,23,3,7.185520362,94.68310727,87.70101277,24.62576375,19,1946,205,62,8502,40,9255
Georgia,Wilkes,Georgia_Wilkes,75.2,219,71.92515924,115.0238291,17,15,21,1560,721,125.2815804,12,42,1244,31,88,9.393120393,2.8,2.8,0.01,12319,0.77,42071,94,24,23,6,7.185520362,94.68310727,10,24.62576375,14,2635,609,48,9694,52.1,7136
Georgia,Wilkinson,Georgia_Wilkinson,73.2,203,71.92515924,115.0238291,17,14,12,1330,1092,125.2815804,23,42,980,45,98,9.393120393,2.6,2.7,0,12722,0.86,44068,89,15,22,4,7.185520362,10,11,24.62576375,13,2548,464,66,8812,51.8,9563
Georgia,Worth,Georgia_Worth,74.2,432,71.92515924,115.0238291,16,13,64,3090,225,10,47,40,2454,50,74,18,3.2,3,0.01,9951,0.83,47907,100,36,20,7,7.185520362,25,26,24.62576375,89,5552,813,73,19972,52.3,14994
Hawaii,Hawaii,Hawaii_Hawaii,81,2634,73,85,13,10,399,26200,14978,67,166,42,7523,55,83,10,2.6,2.6,0.07,12514.70415,0.94,70313,62,64,24,62,4,197,74,27,117,49721,10979,82,203340,50.5,70313
Hawaii,Honolulu,Hawaii_Honolulu,82.4,9650,397,491,10,10,1514,103120,44030,537,412,47,29292,75,86,7,3,3.1,0.12,12514.70415,0.83,89584,41,52,21,324,2,563,149,11,1596,182360,56714,89,963826,49.7,8225
Hawaii,Kalawao,Hawaii_Kalawao,76.89593099,1338.271252,71.92515924,115.0238291,11,10,376.6380917,10,6057.917337,125.2815804,97.09736158,33,8002.633556,0,88.27858293,9.393120393,3.007479324,2.980549369,0.086431034,12514.70415,0.67,57455.85669,54.38782778,49.10587103,25.31464968,40.30616369,7.185520362,94.68310727,87.70101277,24.62576375,0,0,5365.740599,97,87,52.9,90
Hawaii,Kauai,Hawaii_Kauai,82.3,764,24,30,11,10,376.6380917,7000,4957,41,47,38,2470,47,91,11,2.8,2.9,0.08,12514.70415,0.79,80517,46,56,21,27,2,75,20,23,220,15178,3703,87,71851,50.5,8628
Hawaii,Maui,Hawaii_Maui,82.9,1731,65,67,11,9,292,17090,8918,84,123,40,6707,60,83,13,3,3,0.11,12514.70415,0.83,80763,46,69,20,70,2,149,33,19,302,34778,9851,86,167902,50.4,22556
Idaho,Ada,Idaho_Ada,80.8,4224,156,149,11,9,156,40370,24478,241,253,33,34459,175,77,3,3.3,3.2,0.05,7903,0.77,73324,25,72,19,140,1,465,303,24.62576375,451,126138,18590,88,494399,49.9,21471
Idaho,Adams,Idaho_Adams,80.9,65,71.92515924,115.0238291,13,9,376.6380917,550,342,125.2815804,97.09736158,35,433,67,88.27858293,9.393120393,2.4,2.4,0.13,11082,0.8,49967,44,49.10587103,21,40.30616369,7.185520362,94.68310727,87.70101277,24.62576375,72,1421,137,73,4447,48.1,3976
Idaho,Bannock,Idaho_Bannock,76.9,1106,43,45,14,10,20,10390,9615,60,71,34,7884,152,93,7,3.2,3.1,0.08,7076,0.73,54538,36,76,19,23,2,124,82,24.62576375,326,21681,3323,86,88795,50.2,13030
Idaho,Bear Lake,Idaho_Bear Lake,78.3,73,71.92515924,115.0238291,14,9,0,710,363,125.2815804,97.09736158,35,446,98,88,9.393120393,2.8,2.9,0.086431034,7593,0.52,55689,41,49.10587103,18,2,7.185520362,11,87.70101277,24.62576375,83,1927,178,87,6143,49.9,5986
Idaho,Benewah,Idaho_Benewah,74.8,167,71.92515924,115.0238291,15,10,376.6380917,1390,858,125.2815804,13,36,946,85,87,9.393120393,2.5,2.4,0.31,12208,0.74,53014,57,49.10587103,22,3,7.185520362,13,11,24.62576375,18,2627,283,77,9430,49.1,6677
Idaho,Bingham,Idaho_Bingham,76.7,602,25,26,14,11,11,4310,5258,15,60,35,4909,87,89,11,2.9,3,0.15,7382,0.73,65658,43,49.10587103,16,5,4,54,39,24.62576375,77,12216,1177,86,47202,50,25554
Idaho,Blaine,Idaho_Blaine,85.2,176,71.92515924,115.0238291,12,9,8,1980,605,125.2815804,18,31,3037,47,85,9.393120393,3.1,3.1,0.04,15661,1.04,76301,28,49.10587103,19,7,7.185520362,15,12,24.62576375,135,6039,1035,90,23426,50.2,7004
Idaho,Boise,Idaho_Boise,81.8,115,71.92515924,115.0238291,12,9,376.6380917,740,973,125.2815804,12,34,628,50,88.27858293,9.393120393,3.2,3.3,0.07,11312,0.6,55583,43,49.10587103,26,1,7.185520362,15,12,24.62576375,23,2771,344,82,8065,48.4,7028
Idaho,Bonner,Idaho_Bonner,79.6,614,21,21,14,9,15,5440,1196,17,51,31,4017,58,86,9.393120393,3.1,2.9,0.04,10261,0.66,55241,36,49.10587103,26,13,3,64,55,24.62576375,104,13706,2490,80,46817,49.9,29614
Idaho,Bonneville,Idaho_Bonneville,77.2,1347,83,85,13,9,14,10880,11887,73,86,35,9598,156,78,10,3,2.9,0.05,7077,0.63,67294,34,81,21,37,2,145,103,24.62576375,271,28568,4062,90,122134,50.1,13500
Idaho,Boundary,Idaho_Boundary,79.5,183,71.92515924,115.0238291,15,10,376.6380917,1590,399,125.2815804,15,34,1350,63,73,9.393120393,2.9,2.7,0.03,8741,0.7,52193,50,49.10587103,22,1,7.185520362,17,12,24.62576375,96,3505,486,80,12656,49.5,8359
Idaho,Butte,Idaho_Butte,77.1,49,71.92515924,115.0238291,15,10,0,310,221,125.2815804,97.09736158,35,174,113,88.27858293,9.393120393,3.1,3.2,0.086431034,9226,0.76,52081,38,49.10587103,20,40.30616369,7.185520362,94.68310727,87.70101277,24.62576375,45,762,94,82,2646,49,2891
Idaho,Camas,Idaho_Camas,76.89593099,23,71.92515924,115.0238291,15,10,0,120,497,125.2815804,97.09736158,36,81,177,88.27858293,9.393120393,3.007479324,2.980549369,0.086431034,13333,0.84,59409,43,49.10587103,17,40.30616369,7.185520362,94.68310727,87.70101277,24.62576375,10,295,58,76,1130,49.1,1117
Idaho,Canyon,Idaho_Canyon,78.7,2384,124,114,15,12,61,22100,14042,75,221,35,26151,84,77,9,3,2.9,0.08,7729,0.76,57886,52,86,20,50,2,214,159,24.62576375,282,54415,6993,88,237053,50.3,37535
Idaho,Caribou,Idaho_Caribou,78.7,79,71.92515924,115.0238291,13,9,0,630,96,125.2815804,97.09736158,34,519,28,88.27858293,9.393120393,3,2.8,0.04,9426,0.55,63719,35,49.10587103,16,2,7.185520362,12,11,24.62576375,37,2000,137,88,7123,49.3,4170
Idaho,Cassia,Idaho_Cassia,77.5,282,19,115.0238291,15,11,376.6380917,2300,2056,12,41,35,2891,95,84,9.393120393,3,3,0.05,7772,0.64,64591,47,49.10587103,18,8,7.185520362,25,16,24.62576375,117,5414,642,87,24277,49,11823
Idaho,Clark,Idaho_Clark,76.89593099,1338.271252,71.92515924,115.0238291,17,13,0,60,498,125.2815804,97.09736158,36,171,0,88.27858293,9.393120393,3.007479324,2.980549369,0.01,20339,0.71,52182,68,49.10587103,20,40.30616369,7.185520362,94.68310727,87.70101277,24.62576375,20,181,9,77,852,47.9,982
Idaho,Clearwater,Idaho_Clearwater,79.4,136,71.92515924,115.0238291,14,10,6,1220,302,125.2815804,17,36,746,68,58,9.393120393,3.1,3.3,0.086431034,12711,0.75,45377,44,49.10587103,26,4,7.185520362,15,16,24.62576375,37,2694,296,78,8846,44.6,5135
Idaho,Custer,Idaho_Custer,79,70,71.92515924,115.0238291,14,9,0,640,362,125.2815804,10,34,390,188,88.27858293,9.393120393,3.007479324,2.980549369,0.04,10701,0.6,53278,42,49.10587103,27,40.30616369,7.185520362,94.68310727,87.70101277,24.62576375,13,1506,226,82,4249,47.7,4368
Idaho,Elmore,Idaho_Elmore,78.1,321,13,115.0238291,15,11,9,3270,3825,12,35,36,3033,106,62,9.393120393,2.8,2.7,0.04,8179,0.8,49450,42,26,24,11,7.185520362,30,23,24.62576375,143,6635,850,85,27448,47.7,7269
Idaho,Franklin,Idaho_Franklin,79.2,124,16,115.0238291,13,9,376.6380917,1230,167,125.2815804,21,36,1310,28,89,9.393120393,3.2,3.2,0.03,6692,0.72,65396,40,49.10587103,18,40.30616369,7.185520362,16,12,24.62576375,46,3713,374,89,14215,48.9,8463
Idaho,Fremont,Idaho_Fremont,79.7,130,10,115.0238291,14,10,0,1250,1954,125.2815804,15,35,1545,30,98,10,2.9,2.9,0.03,7773,0.75,58658,48,49.10587103,18,40.30616369,7.185520362,10,87.70101277,24.62576375,74,3627,337,84,13218,47.6,9540
Idaho,Gem,Idaho_Gem,77,281,71.92515924,115.0238291,15,10,5,2340,1626,11,24,35,1807,70,83,9.393120393,2.7,2.6,0.02,8002,0.7,60526,45,49.10587103,19,3,7.185520362,33,23,24.62576375,70,5149,544,82,18703,49.8,7527
Idaho,Gooding,Idaho_Gooding,78.5,181,71.92515924,115.0238291,15,11,6,1580,47,125.2815804,29,34,2127,83,77,9.393120393,2.6,2.5,0.07,10019,0.66,57728,59,49.10587103,18,3,7.185520362,15,16,24.62576375,19,3912,386,77,15618,49,8982
Idaho,Idaho,Idaho_Idaho,80,247,71.92515924,115.0238291,15,10,376.6380917,2270,1339,125.2815804,40,34,1618,83,79,9.393120393,2.9,3.1,0.05,10501,0.78,51201,40,49.10587103,20,8,7.185520362,28,23,24.62576375,14,5008,580,76,16823,47.5,13117
Idaho,Jefferson,Idaho_Jefferson,79.5,262,19,115.0238291,13,9,376.6380917,1890,2773,125.2815804,25,34,2975,46,86,9.393120393,2.9,3,0.05,7966,0.67,66806,33,49.10587103,15,4,7.185520362,24,16,24.62576375,74,7162,612,91,30581,48.8,17412
Idaho,Jerome,Idaho_Jerome,79.4,229,71.92515924,20,16,12,5,2530,2642,125.2815804,43,34,3776,33,75,9.393120393,2.7,2.6,0.01,7767,0.72,57342,58,49.10587103,18,8,7.185520362,19,22,24.62576375,62,5449,742,80,24578,48.5,11482
Idaho,Kootenai,Idaho_Kootenai,79.1,1888,66,60,13,9,44,16960,10103,81,105,35,14834,130,82,8,3.3,3.2,0.02,10750,0.77,66959,31,86,18,49,3,176,117,24.62576375,259,45958,7256,87,170628,50.5,33577
Idaho,Latah,Idaho_Latah,82.8,306,15,22,13,9,13,4520,1716,15,29,32,3150,61,85,9.393120393,3.4,3.4,0.06,12370,0.8,59834,27,68,24,16,7.185520362,30,20,24.62576375,310,8720,2360,87,40830,49.1,13032
Idaho,Lemhi,Idaho_Lemhi,77.4,143,71.92515924,115.0238291,14,9,376.6380917,960,934,125.2815804,16,36,659,62,68,9.393120393,2.9,2.8,0.07,8111,0.58,48908,43,49.10587103,24,1,7.185520362,15,14,24.62576375,41,2931,467,81,8054,49.7,4852
Idaho,Lewis,Idaho_Lewis,76.3,72,71.92515924,115.0238291,16,11,376.6380917,620,622,125.2815804,97.09736158,36,372,78,88.27858293,9.393120393,2.9,3.1,0.07,13965,0.71,52255,53,49.10587103,27,2,7.185520362,94.68310727,87.70101277,24.62576375,45,1230,150,69,3838,49.6,3821
Idaho,Lincoln,Idaho_Lincoln,76.2,72,71.92515924,115.0238291,16,12,376.6380917,520,2176,125.2815804,13,35,785,56,88.27858293,9.393120393,2.7,2.9,0.08,10565,0.59,58806,61,49.10587103,17,40.30616369,7.185520362,94.68310727,87.70101277,24.62576375,43,1250,144,75,5358,48.4,5208
Idaho,Madison,Idaho_Madison,79.4,188,22,20,16,11,376.6380917,4930,4466,125.2815804,11,35,3024,104,94,9.393120393,3.2,2.980549369,0.03,6743,0.59,53727,33,49.10587103,19,5,7.185520362,19,13,24.62576375,301,4944,2431,76,40318,49.1,10684
Idaho,Minidoka,Idaho_Minidoka,77.5,241,16,115.0238291,15,12,376.6380917,2130,3541,10,28,36,2703,42,74,9.393120393,3,2.9,0.02,7825,0.63,56022,57,49.10587103,18,3,7.185520362,26,16,24.62576375,65,5292,662,82,21216,50,8875
Idaho,Nez Perce,Idaho_Nez Perce,77.1,580,16,115.0238291,14,10,6,4540,2842,20,45,34,3400,186,80,10,2.9,2.9,0.28,12510,0.73,57839,34,49.10587103,20,14,4,46,40,24.62576375,172,12077,2429,82,40755,50.7,7525
Idaho,Oneida,Idaho_Oneida,78.4,51,71.92515924,115.0238291,13,9,0,450,227,125.2815804,97.09736158,33,378,155,88,9.393120393,2.9,3.1,0.01,5345,0.72,69357,9,49.10587103,17,1,7.185520362,94.68310727,87.70101277,24.62576375,18,1406,125,89,4520,49.9,4286
Idaho,Owyhee,Idaho_Owyhee,77.7,169,71.92515924,115.0238291,16,12,376.6380917,1360,1197,125.2815804,23,36,1898,49,93,9.393120393,2.5,2.6,0.03,9953,0.75,53910,58,49.10587103,22,2,7.185520362,14,13,24.62576375,35,3185,312,77,12133,49.1,8909
Idaho,Payette,Idaho_Payette,77.2,342,21,115.0238291,15,10,376.6380917,2600,1638,10,19,33,2715,149,91,9.393120393,2.9,2.8,0.03,7216,0.94,60177,49,49.10587103,19,5,7.185520362,35,24,24.62576375,186,6423,741,82,24771,49.9,9653
Idaho,Power,Idaho_Power,78.1,96,71.92515924,115.0238291,15,12,376.6380917,720,459,125.2815804,12,34,985,52,88,9.393120393,3.2,3,0.1,10887,0.88,45404,61,49.10587103,23,2,7.185520362,11,87.70101277,24.62576375,40,1780,132,85,7643,49.6,3329
Idaho,Shoshone,Idaho_Shoshone,75.9,244,71.92515924,115.0238291,17,11,5,2230,528,125.2815804,22,36,1250,54,90,19,3.2,3.4,0.03,15314,0.49,44336,49,49.10587103,26,1,7.185520362,22,15,24.62576375,208,3909,456,77,12911,49.6,7153
Idaho,Teton,Idaho_Teton,83.5,80,71.92515924,115.0238291,11,8,0,570,227,125.2815804,14,31,1434,80,93,9.393120393,2.9,2.7,0.02,9155,1.03,74935,34,49.10587103,19,2,7.185520362,94.68310727,87.70101277,24.62576375,0,3350,394,91,12501,47.8,10170
Idaho,Twin Falls,Idaho_Twin Falls,77.2,1064,47,32,14,11,14,9190,3641,68,101,35,9023,127,81,8,2.9,2.9,0.07,8389,0.74,54995,43,78,19,25,3,114,73,24.62576375,181,22107,3548,86,88411,50.7,21617
Idaho,Valley,Idaho_Valley,85,101,71.92515924,115.0238291,12,8,0,990,744,125.2815804,14,33,1006,68,87,9.393120393,3.6,3.4,0.03,11583,0.64,62600,26,49.10587103,23,3,7.185520362,14,11,24.62576375,63,3248,457,87,11792,48.6,9862
Idaho,Washington,Idaho_Washington,78.2,143,71.92515924,115.0238291,16,11,0,1250,678,125.2815804,12,35,1104,58,86,9.393120393,3,3,0.06,12989,0.68,49186,52,49.10587103,21,1,7.185520362,10,87.70101277,24.62576375,99,3097,551,78,10360,50.2,4647
Illinois,Adams,Illinois_Adams,77.8,936,30,35,12,9,43,7310,2149,31,46,34,2691,147,88.27858293,7,2.8,2.7,0.06,11147,0.79,57434,52,52,24,5,4,59,36,8,202,19474,2388,81,64783,50.8,21875
Illinois,Alexander,Illinois_Alexander,70.5,160,71.92515924,115.0238291,16,13,15,1020,2329,125.2815804,15,40,302,73,88.27858293,9.393120393,2,2.2,0.35,18016,0.7,38315,99,54,38,2,25,94.68310727,87.70101277,0,64,1685,312,60,5497,51.4,5096
Illinois,Bond,Illinois_Bond,78.4,217,71.92515924,115.0238291,13,10,15,1770,1606,12,22,35,722,80,88.27858293,9.393120393,3,3.1,0.05,11354,0.69,58209,48,53,25,3,7.185520362,94.68310727,87.70101277,4,45,4662,484,78,16262,47.8,10792
Illinois,Boone,Illinois_Boone,79.3,586,18,115.0238291,12,10,21,4650,4032,26,41,34,3261,23,88.27858293,9.393120393,2.7,2.6,0.04,14871,0.66,82318,45,42,21,7,7.185520362,23,17,19,132,15499,2233,88,52777,50,10488
Illinois,Brown,Illinois_Brown,78.9,69,71.92515924,115.0238291,13,11,8,560,718,125.2815804,97.09736158,37,131,61,88.27858293,9.393120393,3,2.9,0.086431034,14596,0.86,52277,47,49.10587103,25,40.30616369,7.185520362,94.68310727,87.70101277,0,44,1601,83,77,6546,35.5,2849
Illinois,Bureau,Illinois_Bureau,78.1,491,71.92515924,115.0238291,12,10,20,3550,3426,13,55,33,1561,93,88.27858293,7,3.1,3,0.2,14684,0.64,57728,50,49.10587103,23,3,7.185520362,27,13,0,58,10393,1170,82,32303,50.9,20074
Illinois,Calhoun,Illinois_Calhoun,80.4,56,71.92515924,115.0238291,13,9,376.6380917,580,268,125.2815804,97.09736158,35,213,65,88.27858293,9.393120393,3.5,3.3,0.086431034,15413,0.92,61648,37,49.10587103,19,2,7.185520362,94.68310727,87.70101277,24.62576375,0,1473,117,73,4616,49.9,5089
Illinois,Carroll,Illinois_Carroll,78.1,247,71.92515924,115.0238291,12,9,8,1500,690,125.2815804,22,34,672,28,88.27858293,9.393120393,3.3,3.4,0.03,14996,0.69,53965,44,49.10587103,21,3,7.185520362,94.68310727,87.70101277,0,46,4935,433,83,14241,50.1,12598
Illinois,Cass,Illinois_Cass,76.4,169,71.92515924,115.0238291,14,11,376.6380917,1300,465,125.2815804,21,36,849,67,88.27858293,9.393120393,2.6,2.6,0.22,12610,0.78,54205,78,59,27,2,7.185520362,13,87.70101277,6,72,3820,338,80,11925,50,7112
Illinois,Champaign,Illinois_Champaign,80.1,1879,116,120,12,10,381,23510,9680,131,123,35,10576,158,88.27858293,3,2.8,2.8,0.19,14204,0.84,64387,52,49,25,42,4,130,80,9,358,44088,12761,84,209192,50.4,25558
Illinois,Christian,Illinois_Christian,76.5,533,13,115.0238291,13,10,29,3730,677,12,36,36,1463,56,88.27858293,9.393120393,3,2.9,0.05,12438,0.72,56656,49,76,25,5,7.185520362,36,18,11,103,10329,1070,79,32075,49,15121
Illinois,Clark,Illinois_Clark,76.1,260,71.92515924,115.0238291,13,9,10,1790,1596,125.2815804,26,35,676,26,88.27858293,9.393120393,3,3,0.05,12098,0.73,59633,43,49.10587103,22,4,7.185520362,19,11,24.62576375,39,5243,423,79,15268,50.6,9726
Illinois,Clay,Illinois_Clay,76.5,220,71.92515924,115.0238291,14,10,6,1860,775,125.2815804,15,35,630,99,88.27858293,9.393120393,3,3.1,0.05,9590,0.63,59602,51,49.10587103,19,2,7.185520362,94.68310727,87.70101277,17,30,4164,381,82,13079,50.7,8943
Illinois,Clinton,Illinois_Clinton,80.2,404,10,115.0238291,12,9,34,3220,1413,13,45,35,1473,70,88.27858293,10,3.4,3.3,0.11,11161,0.75,71883,35,68,19,13,7.185520362,20,12,20,38,11621,978,81,37398,48.1,18412
Illinois,Coles,Illinois_Coles,77.7,660,16,21,14,10,43,7280,5608,26,44,34,2630,169,88.27858293,9.393120393,2.8,2.6,0.02,13483,0.76,46900,54,37,28,13,7.185520362,25,17,0,215,12596,2429,81,50383,51.4,13085
Illinois,Cook,Illinois_Cook,78.6,63871,2371,2859,12,11,25855,481720,91773,4467,2387,36,420254,99,88.27858293,7,3,2.8,0.42,18480,0.86,71611,61,78,25,1429,14,2276,4290,8,1159,1139938,340314,85,5108284,51.4,2353
Illinois,Crawford,Illinois_Crawford,78.9,241,71.92515924,115.0238291,13,10,29,2100,480,125.2815804,25,34,811,103,88.27858293,9.393120393,2.8,2.8,0.06,12567,0.68,57632,44,49.10587103,23,3,7.185520362,11,87.70101277,14,40,5914,832,82,18512,47.6,11923
Illinois,Cumberland,Illinois_Cumberland,79.7,122,71.92515924,115.0238291,13,10,5,1230,16,125.2815804,13,35,504,38,88.27858293,9.393120393,2.7,2.7,0.03,11354,0.69,68683,44,49.10587103,18,4,7.185520362,94.68310727,87.70101277,24.62576375,36,3432,233,80,10649,49.9,11048
Illinois,DeKalb,Illinois_DeKalb,78.7,1028,42,45,12,10,75,11370,15338,53,73,34,5775,56,88.27858293,4,2.8,2.9,0.14,14460,0.74,68546,40,51,28,25,2,75,38,15,167,22375,5541,89,104491,50.4,21353
Illinois,De Witt,Illinois_De Witt,74.9,281,14,115.0238291,13,9,376.6380917,1650,357,125.2815804,15,34,697,65,88.27858293,9.393120393,3.4,3.3,0.03,14480,0.83,65526,48,49.10587103,18,1,7.185520362,19,10,0,128,5129,465,82,15368,50.4,8074
Illinois,Douglas,Illinois_Douglas,79.2,224,12,115.0238291,13,10,5,1880,740,125.2815804,32,35,1396,87,88.27858293,9.393120393,3.1,2.9,0.16,13191,0.75,63003,40,49.10587103,23,2,7.185520362,12,87.70101277,7,35,5767,676,77,19510,50.4,12315
Illinois,DuPage,Illinois_DuPage,81.9,7490,258,289,9,9,733,56610,29464,444,298,31,42292,107,88.27858293,3,3.3,3.3,0.13,19258,0.74,92101,27,44,26,220,2,482,215,6,616,251301,41618,92,917481,50.8,436
Illinois,Edgar,Illinois_Edgar,75.8,314,71.92515924,115.0238291,12,9,9,2000,2586,125.2815804,25,35,798,154,88.27858293,9.393120393,3,2.9,0.08,12209,0.65,52668,64,49.10587103,27,3,7.185520362,18,87.70101277,0,114,5838,629,80,16858,50.9,9623
Illinois,Edwards,Illinois_Edwards,76.3,109,71.92515924,115.0238291,13,9,376.6380917,680,514,125.2815804,97.09736158,34,256,63,88.27858293,9.393120393,3.4,3.4,0.05,12075,0.75,55832,38,49.10587103,19,3,7.185520362,10,87.70101277,24.62576375,72,2212,126,79,6356,51.2,6721
Illinois,Effingham,Illinois_Effingham,77.7,432,14,23,12,9,10,3390,1588,10,32,34,1394,191,88.27858293,9.393120393,3.3,3,0.06,11449,0.79,65172,34,61,19,12,5,27,18,24,179,10623,872,84,34065,50.1,20442
Illinois,Fayette,Illinois_Fayette,78.1,299,71.92515924,115.0238291,15,11,20,2830,4078,125.2815804,34,36,1257,75,88.27858293,9.393120393,2.9,2.8,0.06,12866,0.75,49030,55,49.10587103,28,6,7.185520362,23,14,10,79,6440,669,77,21264,47.1,14831
Illinois,Ford,Illinois_Ford,76.3,198,71.92515924,115.0238291,13,10,8,1630,1094,125.2815804,10,35,631,131,88.27858293,9.393120393,3.2,3.2,0.02,16861,0.76,58478,45,40,24,4,7.185520362,10,87.70101277,4,24,4321,547,83,12949,50.9,5883
Illinois,Franklin,Illinois_Franklin,74.9,749,24,22,15,10,29,6120,3178,27,60,36,2130,81,88.27858293,17,2.9,2.6,0.05,10980,0.72,49834,56,73,31,8,7.185520362,43,23,11,144,12155,1846,77,38060,50.6,19219
Illinois,Fulton,Illinois_Fulton,75.9,606,14,115.0238291,13,10,48,4280,1677,15,38,36,1717,71,88.27858293,8,2.8,2.8,0.08,13735,0.66,48828,49,85,30,9,7.185520362,30,21,9,94,11093,1038,80,33690,47.9,22251
Illinois,Gallatin,Illinois_Gallatin,73.2,107,71.92515924,115.0238291,15,11,5,810,1669,125.2815804,10,36,221,63,88.27858293,9.393120393,2.5,2.7,0.086431034,12621,0.67,44282,56,49.10587103,32,40.30616369,7.185520362,94.68310727,87.70101277,10,13,1752,157,69,4793,51.1,5589
Illinois,Greene,Illinois_Greene,76.7,224,10,115.0238291,13,10,5,1530,88,10,18,35,622,94,88.27858293,9.393120393,3,2.9,0.06,12838,0.64,51242,58,49.10587103,22,3,7.185520362,14,87.70101277,11,59,3865,250,77,12702,49.4,9838
Illinois,Grundy,Illinois_Grundy,77.2,633,21,21,11,9,15,4250,2769,49,49,33,2005,90,88.27858293,9.393120393,3.1,3,0.03,12842,0.67,74935,25,64,24,14,7.185520362,45,18,11,200,14619,2005,88,50993,50.3,12203
Illinois,Hamilton,Illinois_Hamilton,77.6,126,71.92515924,115.0238291,13,9,0,930,286,125.2815804,97.09736158,34,361,148,88.27858293,9.393120393,3.2,3.2,0.086431034,11975,0.77,49302,50,49.10587103,31,3,7.185520362,94.68310727,87.70101277,11,0,2616,180,71,8084,51.1,5759
Illinois,Hancock,Illinois_Hancock,78.3,263,71.92515924,115.0238291,13,9,376.6380917,2080,2697,125.2815804,22,35,788,63,88.27858293,9.393120393,3.3,3,0.07,13557,0.74,54076,47,49.10587103,20,4,7.185520362,14,87.70101277,8,36,6152,358,77,17422,50.5,13559
Illinois,Hardin,Illinois_Hardin,73.8,89,71.92515924,115.0238291,14,10,376.6380917,560,268,125.2815804,97.09736158,36,200,105,88.27858293,9.393120393,2.6,2.9,0.03,11206,0.76,39674,61,49.10587103,38,1,7.185520362,94.68310727,87.70101277,0,0,1194,46,75,3808,49.4,4320
Illinois,Henderson,Illinois_Henderson,77.6,123,71.92515924,115.0238291,12,9,376.6380917,680,36,125.2815804,10,34,331,31,88.27858293,9.393120393,2.6,2.4,0.02,12514.70415,0.7,58577,57,49.10587103,16,1,7.185520362,94.68310727,87.70101277,8,3,2517,106,80,6535,50.6,7306
