State,County,State_County,Life_expectancy,Deaths_Premature_age_adjusted_mortality,Child_mortality_deaths,Infant_mortality_deaths,percentage_Frequent_Physical_Distress,percentage_Adults_with_Diabetes,HIV_Cases,Food_insecurity,Limited_access_to_healthy_foods,Drug_overdose_deaths,Motor_vehicle_crash_deaths,percentage_Insufficient_Sleep,Uninsured_adults,Other_Primary_Care_Provider_Rate,High_School_Graduation_Rate,percentage_Disconnected_Youth,Average_Grade_Performance_Reading_scores,Average_Grade_Performance_Math_scores,Segregation_index_School_segregation,Spending_perpupil_School_funding_adequacy,Gender_pay_gap,Median_household_income,percentage_Enrolled_in_Free_or_Reduced_Lunch_Children_eligible_for_free_or_reduced_price_lunch,Segregation_index_Residential_segregation_Black_white,percentage_household_income_required_for_childcare_expenses_Childcare_cost_burden,Childcare_centers,Homicide_Rate,Suicides,Firearm_fatalities,Juvenile_Arrest_Rate,Traffic_Volume,Homeowners,Severe_housing_cost_burden,percentage_Broadband_Access,Population,percentage_female,rural_residents
Texas,Kent,Texas_Kent,76.89593099,1338.271252,71.92515924,115.0238291,12,11,0,120,244,125.2815804,97.09736158,35,59,0,88.27858293,9.393120393,3.007479324,2.980549369,0.086431034,21816,0.82,53472,39,49.10587103,21,1,7.185520362,94.68310727,87.70101277,0,0,233,14,79,786,50.3,808
Texas,Kerr,Texas_Kerr,77.3,886,31,22,13,11,65,7690,2606,27,47,36,7098,98,93,9,3,3.4,0.02,10025,0.82,57425,59,66,27,16,5,65,52,17,129,14561,1823,86,52869,51.8,20397
Texas,Kimble,Texas_Kimble,76.4,83,71.92515924,115.0238291,15,13,376.6380917,820,389,125.2815804,97.09736158,36,603,136,88.27858293,9.393120393,3.2,3.2,0.01,11056,0.84,47894,67,49.10587103,24,1,7.185520362,94.68310727,87.70101277,24.62576375,22,1488,179,76,4396,51.1,2041
Texas,King,Texas_King,76.89593099,1338.271252,71.92515924,115.0238291,15,12,0,40,64,125.2815804,97.09736158,35,32,0,88.27858293,9.393120393,3.007479324,2.980549369,0.086431034,29189,1.06,78210,24,49.10587103,16,40.30616369,7.185520362,94.68310727,87.70101277,24.62576375,5,35,6,92,283,48.4,286
Texas,Kinney,Texas_Kinney,79.2,48,71.92515924,115.0238291,17,17,10,660,922,125.2815804,97.09736158,38,361,54,88.27858293,9.393120393,2.7,3.1,0.02,13100,0.77,62557,58,49.10587103,16,1,7.185520362,94.68310727,87.70101277,24.62576375,24,1110,16,59,3670,44.7,736
Texas,Kleberg,Texas_Kleberg,74.3,444,14,115.0238291,15,16,30,5390,5564,125.2815804,30,37,4222,49,83,9.393120393,2.7,3.2,0.04,10873,0.66,51574,67,46,27,13,5,12,10,32,152,5815,1464,78,30338,49.2,6050
Texas,Knox,Texas_Knox,73.7,70,71.92515924,115.0238291,15,14,376.6380917,550,221,125.2815804,97.09736158,37,541,136,88.27858293,9.393120393,2.6,2.8,0.03,13137,1.16,46053,64,41,25,3,7.185520362,94.68310727,87.70101277,0,7,1180,56,79,3683,50.5,3719
Texas,Lamar,Texas_Lamar,73.8,996,25,32,15,12,65,9000,7077,21,78,38,7114,134,93,9.393120393,2.8,3,0.14,10308,0.71,44688,64,39,25,14,5,48,43,14,124,12940,2925,70,49905,51.8,23444
Texas,Lamb,Texas_Lamb,73.7,237,71.92515924,115.0238291,16,16,18,2020,1515,125.2815804,28,38,2243,63,93,9.393120393,2.8,3,0.06,12177,0.72,48123,71,29,26,3,7.185520362,94.68310727,12,13,51,3441,384,70,12710,50.4,8063
Texas,Lampasas,Texas_Lampasas,77.6,337,71.92515924,115.0238291,13,11,16,3150,1160,125.2815804,37,36,2580,37,98,9.393120393,2.9,3.1,0.02,10461,0.69,69051,55,37,18,5,7.185520362,20,11,21,116,6245,858,82,21789,50.6,13433
Texas,La Salle,Texas_La Salle,77,95,71.92515924,115.0238291,15,16,14,1030,795,125.2815804,97.09736158,37,757,120,93,9.393120393,2.6,2.8,0.02,13534,0.93,45647,90,49.10587103,22,2,7.185520362,94.68310727,87.70101277,13,62,1585,228,65,7500,40.8,3192
Texas,Lavaca,Texas_Lavaca,78.6,278,71.92515924,115.0238291,13,11,23,2790,824,125.2815804,40,36,2195,74,96,9.393120393,3,3.3,0.05,10538,0.75,57999,39,28,21,7,7.185520362,13,14,13,11,5973,424,78,20216,51.1,15664
Texas,Lee,Texas_Lee,76.6,260,11,115.0238291,14,12,24,2170,1071,125.2815804,39,38,2473,29,96,9.393120393,2.6,2.8,0.09,11459,0.63,61444,61,35,27,7,7.185520362,17,10,9,97,4958,686,80,17397,49.6,11582
Texas,Leon,Texas_Leon,77.1,310,71.92515924,115.0238291,15,12,25,3070,1354,125.2815804,51,37,2587,29,95,9.393120393,2.9,3.1,0.08,11380,0.78,52878,52,39,27,4,7.185520362,22,17,9,60,5338,563,72,17493,50.4,16801
Texas,Liberty,Texas_Liberty,74.2,1531,59,55,15,13,228,13160,3138,38,182,39,12945,39,91,13,2.6,2.9,0.2,10545,0.78,61230,73,43,26,20,8,83,90,6,94,21411,2724,83,91547,50.6,47827
Texas,Limestone,Texas_Limestone,74.6,455,16,115.0238291,15,14,38,3880,2035,125.2815804,38,39,3205,69,90,9.393120393,2.8,2.8,0.06,10712,0.77,53143,73,30,21,5,7.185520362,23,20,14,50,6138,860,67,23340,48.7,12538
Texas,Lipscomb,Texas_Lipscomb,79.4,36,71.92515924,115.0238291,13,12,0,470,1042,125.2815804,97.09736158,36,517,64,88.27858293,9.393120393,2.9,3.2,0.12,15033,0.68,67775,67,49.10587103,19,40.30616369,7.185520362,94.68310727,87.70101277,24.62576375,6,855,56,86,3111,48.6,3302
Texas,Live Oak,Texas_Live Oak,79.4,175,71.92515924,115.0238291,15,14,11,1890,412,125.2815804,16,37,1531,32,96,9.393120393,3.2,3.5,0.01,12110,0.71,54031,63,49.10587103,26,2,7.185520362,12,13,14,87,3156,293,64,12324,45,11531
Texas,Llano,Texas_Llano,78.1,432,71.92515924,115.0238291,13,11,28,3490,2560,10,33,35,2647,32,98,9.393120393,2.9,2.9,0.02,11448,0.76,60706,63,49.10587103,27,7,7.185520362,28,23,19,0,7009,919,84,21958,51.5,8720
Texas,Loving,Texas_Loving,76.89593099,1338.271252,71.92515924,115.0238291,12,11,0,20,15,125.2815804,97.09736158,36,13,0,88.27858293,9.393120393,3.007479324,2.980549369,0.086431034,12514.70415,0.773833652,97491,54.38782778,49.10587103,14,40.30616369,7.185520362,94.68310727,87.70101277,24.62576375,0,11,5365.740599,97,181,42,82
Texas,Lubbock,Texas_Lubbock,75.1,4398,163,144,13,13,544,47200,22833,130,333,35,38913,160,92,4,2.9,3.1,0.13,9884,0.75,56477,59,54,22,120,6,261,215,40,538,64803,19140,82,314772,50.8,31607
Texas,Lynn,Texas_Lynn,74,117,71.92515924,115.0238291,16,15,5,980,892,125.2815804,14,37,811,66,88.27858293,9.393120393,3,3.1,0.12,14414,0.58,51003,54,49.10587103,24,2,7.185520362,94.68310727,87.70101277,24.62576375,34,1521,228,79,6025,47.9,3355
Texas,McCulloch,Texas_McCulloch,75.5,167,71.92515924,115.0238291,15,13,11,1440,1591,125.2815804,18,37,1075,64,95,9.393120393,2.8,2.9,0.03,12781,0.6,47617,65,49.10587103,24,2,7.185520362,10,11,21,141,2200,249,84,7823,50.1,2926
Texas,McLennan,Texas_McLennan,77.1,3393,128,152,14,13,481,39500,39470,95,229,36,32319,86,90,6,2.8,3,0.19,10003,0.8,55148,64,47,21,115,5,189,178,25,427,54151,14255,82,259730,51.3,54855
Texas,McMullen,Texas_McMullen,76.89593099,1338.271252,71.92515924,115.0238291,11,12,0,100,179,125.2815804,97.09736158,36,56,139,88.27858293,9.393120393,3.007479324,2.980549369,0.086431034,19478,0.51,45927,27,49.10587103,30,40.30616369,7.185520362,94.68310727,87.70101277,24.62576375,0,194,10,77,721,47.6,707
Texas,Madison,Texas_Madison,74.7,226,71.92515924,115.0238291,14,13,55,2010,1820,125.2815804,31,39,1804,28,96,9.393120393,2.7,2.9,0.04,10749,0.62,58674,71,51,25,6,7.185520362,94.68310727,87.70101277,24.62576375,62,3196,329,76,14427,43,9210
Texas,Marion,Texas_Marion,74.5,254,71.92515924,115.0238291,15,13,29,1820,305,125.2815804,25,40,1191,40,93,9.393120393,2.8,2.6,0.01,9816,0.59,42024,72,37,28,2,7.185520362,11,87.70101277,16,25,3535,453,69,9960,51.1,10546
Texas,Martin,Texas_Martin,72.4,96,71.92515924,115.0238291,13,13,376.6380917,600,325,125.2815804,97.09736158,36,733,34,96,9.393120393,2.5,2.9,0.07,12763,0.96,73367,52,49.10587103,19,2,7.185520362,94.68310727,87.70101277,24.62576375,41,1202,92,72,5816,49.6,4799
Texas,Mason,Texas_Mason,82.1,52,71.92515924,115.0238291,12,11,376.6380917,600,112,125.2815804,97.09736158,35,659,69,98,9.393120393,3.3,3.6,0.02,11983,0.76,63120,46,49.10587103,18,2,7.185520362,94.68310727,87.70101277,24.62576375,0,1253,175,77,4344,49.2,4012
Texas,Matagorda,Texas_Matagorda,75.4,644,22,115.0238291,15,14,72,6150,5233,10,58,38,4985,76,92,9.393120393,2.7,3,0.09,12368,0.66,52241,69,52,30,10,8,22,33,19,126,9798,1926,68,36725,49.9,13366
Texas,Maverick,Texas_Maverick,75.8,734,41,52,18,19,94,10500,9783,125.2815804,54,38,11732,48,95,5,2.8,3,0.17,9920,0.6,41324,79,77,25,20,3,14,16,11,234,11048,2458,65,58378,49.8,5022
Texas,Medina,Texas_Medina,78.2,718,33,24,13,13,55,6050,1863,125.2815804,60,35,6110,21,98,9.393120393,2.9,2.9,0.05,10377,0.73,62600,55,70,25,10,4,39,34,10,95,12780,1501,80,52358,48.4,28319
Texas,Menard,Texas_Menard,76.5,44,71.92515924,115.0238291,14,13,0,370,135,125.2815804,97.09736158,36,323,0,88.27858293,9.393120393,2.8,3,0.01,14043,0.96,41477,72,49.10587103,28,1,7.185520362,94.68310727,87.70101277,24.62576375,0,636,116,63,2124,50.2,2242
Texas,Midland,Texas_Midland,77.9,1877,101,108,12,12,209,17820,6977,49,236,35,20962,109,88,8,2.7,2.9,0.08,7926,0.64,92117,44,46,15,52,5,135,114,32,370,38643,6162,87,177863,49.2,16824
Texas,Milam,Texas_Milam,77.2,414,11,115.0238291,15,13,38,4080,2824,125.2815804,59,38,3008,69,91,9.393120393,2.7,2.7,0.06,11080,0.79,49961,69,22,24,8,7.185520362,21,14,23,97,6972,956,73,24708,50.4,13909
Texas,Mills,Texas_Mills,76.5,98,71.92515924,115.0238291,14,12,0,810,444,125.2815804,97.09736158,36,733,62,88.27858293,9.393120393,3.007479324,3.3,0.02,15323,0.9,49089,56,49.10587103,25,1,7.185520362,94.68310727,87.70101277,24.62576375,88,1545,155,76,4840,49.9,4936
Texas,Mitchell,Texas_Mitchell,75.9,128,71.92515924,115.0238291,14,13,10,1100,568,125.2815804,15,38,845,37,94,9.393120393,2.4,2.8,0.04,13979,0.83,46156,54,31,25,2,7.185520362,94.68310727,87.70101277,24.62576375,29,1964,98,72,8202,41.1,3455
