State,County,State_County,Premature_death,Percentage_Fair_or_Poor_Health,Average_Number_of_Physically_Unhealthy_Days,Average_Number_of_Mentally_Unhealthy_Days,Percentage_Low_birthweight,Percentage_Smokers,Percentage_Adults_with_Obesity,Food_Environment_Index,Percentage_Physically_Inactive,Percentage_With_Access_to_Exercise_Opportunities,Alcohol_impaired_driving_deaths,Sexually_transmitted_infections_Chlamydia_Cases,Teen_Birth_Rate,Uninsured,Primary_care_physicians,Dentists,Mental_health_providers,Preventable_Hospitalization_Rate,Percentage_With_Annual_Mammogram,Percentage_Vaccinated,High_school_completion,Some_college,Unemployment,Percentage_Children_in_Poverty,Income_inequality_80th_Percentile_Income,Children_in_single-parent_households,Social_associations,Annual_Average_Violent_Crimes,Injury_deaths,Air_pollution_particulate_matter_Average_Daily_PM,Percentage_Severe_Housing_Problems,Percentage_Drive_Alone_to_Work,Workers_Drive_Alone_to_Work
Missouri,Saline,Missouri_Saline,371,23,4.7,5,9,22,41,6.6,37,54,2,91,22,2506,12,8,34,5413,45,36,12643,3028,479,15,88908,892,24,47,85,7.7,12,82,10418
Missouri,Schuyler,Missouri_Schuyler,73,22,4.8,5.3,8,25,38,3.9,36,26,3,7,16,597,3,1,316.050034,2158,42,50,2688,530,112,26,74597,138,6,7,20,8,10,87,1968
Missouri,Scotland,Missouri_Scotland,65,24,5.1,5.5,6,26,37,8,37,1,2,6,19,850,7,1,2,4426,33,49,2450,424,78,24,90929,166,9,6,17,8.2,18,73,1994
Missouri,Scott,Missouri_Scott,713,24,4.9,5.3,10,25,39,6.9,40,60,7,192,42,4177,20,24,67,4018,42,41,22201,5401,1058,23,88516,2502,57,382,171,9.6,14,82,17117
Missouri,Shannon,Missouri_Shannon,181,27,5.5,5.7,9,28,39,6.1,39,56,3,9,32,1148,84.03515233,77.17398427,1,5123,33,31,4813,833,245,33,62285,399,5,28,43,8,15,71,2943
Missouri,Shelby,Missouri_Shelby,92,21,4.7,5.2,8,24,37,6.5,34,35,0,13,22,667,1,2,316.050034,4907,44,39,3724,738,136,21,86143,238,15,4,25,8.4,9,77,2791
Missouri,Stoddard,Missouri_Stoddard,566,24,5,5.5,9,26,37,7,37,53,4,106,38,3400,14,7,18,4230,41,32,16383,3300,788,22,84373,1574,41,40,117,9.3,10,85,11905
Missouri,Stone,Missouri_Stone,606,21,4.6,5.1,9,24,37,7.6,33,64,11,77,29,3610,11,4,14,3822,45,41,21931,3250,1284,23,94470,847,40,146,186,8.7,12,81,12135
Missouri,Sullivan,Missouri_Sullivan,115,25,4.8,4.9,9,24,41,7.3,39,43,2,20,49,726,2,1,316.050034,3955,36,37,3698,622,121,19,85500,172,9,13,34,7.9,10,65,2660
Missouri,Taney,Missouri_Taney,926,21,4.6,5.1,9,23,36,6,34,62,15,192,28,7520,42,20,46,4261,39,40,34949,7154,3393,24,86372,2873,73,190,222,8.7,16,77,25163
Missouri,Texas,Missouri_Texas,482,25,5.3,5.5,8,27,40,6.4,38,62,8,51,37,3492,11,5,7,5037,30,36,15296,2857,519,29,83500,967,31,33,134,8.1,16,79,9208
