State,County,State_County,Premature_death,Percentage_Fair_or_Poor_Health,Average_Number_of_Physically_Unhealthy_Days,Average_Number_of_Mentally_Unhealthy_Days,Percentage_Low_birthweight,Percentage_Smokers,Percentage_Adults_with_Obesity,Food_Environment_Index,Percentage_Physically_Inactive,Percentage_With_Access_to_Exercise_Opportunities,Alcohol_impaired_driving_deaths,Sexually_transmitted_infections_Chlamydia_Cases,Teen_Birth_Rate,Uninsured,Primary_care_physicians,Dentists,Mental_health_providers,Preventable_Hospitalization_Rate,Percentage_With_Annual_Mammogram,Percentage_Vaccinated,High_school_completion,Some_college,Unemployment,Percentage_Children_in_Poverty,Income_inequality_80th_Percentile_Income,Children_in_single-parent_households,Social_associations,Annual_Average_Violent_Crimes,Injury_deaths,Air_pollution_particulate_matter_Average_Daily_PM,Percentage_Severe_Housing_Problems,Percentage_Drive_Alone_to_Work,Workers_Drive_Alone_to_Work,Life_expectancy,Deaths_Premature_age_adjusted_mortality,Child_mortality_deaths,Infant_mortality_deaths,percentage_Frequent_Physical_Distress,percentage_Adults_with_Diabetes,HIV_Cases,Food_insecurity,Limited_access_to_healthy_foods,Drug_overdose_deaths,Motor_vehicle_crash_deaths,percentage_Insufficient_Sleep,Uninsured_adults,Other_Primary_Care_Provider_Rate,High_School_Graduation_Rate,percentage_Disconnected_Youth,Average_Grade_Performance_Reading_scores,Average_Grade_Performance_Math_scores,Segregation_index_School_segregation,Spending_perpupil_School_funding_adequacy,Gender_pay_gap,Median_household_income,percentage_Enrolled_in_Free_or_Reduced_Lunch_Children_eligible_for_free_or_reduced_price_lunch,Segregation_index_Residential_segregation_Black_white,percentage_household_income_required_for_childcare_expenses_Childcare_cost_burden,Childcare_centers,Homicide_Rate,Suicides,Firearm_fatalities,Juvenile_Arrest_Rate,Traffic_Volume,Homeowners,Severe_housing_cost_burden,percentage_Broadband_Access,Population,percentage_female,rural_residents
Alabama,Clay,Alabama_Clay,285,27,5.5,6.2,8,26,37,7.3,37,57,9,74,34,1480,5,2,2,4703,39,41,7615,1096,245,24,91273,689,15,42,69,7,10,89,5285,72.9,285,71.92515924,115.0238291,18,13,21,2200,414,125.2815804,35,39,1371,46,88,9.393120393,2.8,2.5,0.01,9441,0.78,44763,65,24,21,6,7.185520362,16,15,7,0,3947,326,72,13112,51.3,13932
Alabama,Cleburne,Alabama_Cleburne,301,23,5.1,5.9,8,24,36,7.1,34,41,8,35,31,1506,3,77.17398427,8,5732,27,40,8661,1728,262,20,89653,590,13,16,83,9,11,86,5697,74.3,301,11,115.0238291,16,11,13,2710,303,125.2815804,34,38,1357,13,98,9.393120393,3.1,3.1,0.12,9872,0.76,50134,55,38,19,7,7.185520362,13,18,24.62576375,22,4515,390,71,14967,50.9,14972
Alabama,Coffee,Alabama_Coffee,895,22,4.6,5.4,9,21,35,6.9,33,55,16,334,26,5604,25,18,46,4515,43,35,30778,8583,944,21,109562,3705,68,142,184,8.6,10,86,22423,75.3,895,24,23,14,12,76,8130,4491,14,67,37,5167,75,95,9,3,2.9,0.08,9986,0.67,54203,48,41,17,16,6,39,53,17,109,13527,1922,83,53230,50.7,23573
Alabama,Colbert,Alabama_Colbert,1138,22,4.8,5.7,11,22,36,6.7,33,43,19,322,30,4721,34,29,24,6652,39,47,33487,7267,1550,21,89389,3692,90,218,212,7.5,12,87,23216,73.9,1138,27,39,15,12,58,9040,4806,20,93,40,4388,153,93,9.393120393,3,2.9,0.07,11274,0.72,54185,55,31,24,23,5,53,59,23,156,15609,2113,73,55411,52.1,23891
Alabama,Conecuh,Alabama_Conecuh,335,28,5.4,6,14,25,41,6.4,40,36,4,72,31,1112,5,2,7,11154,37,43,7498,1232,331,35,76083,1297,9,48,65,8.8,10,88,3951,71.2,335,71.92515924,115.0238291,17,15,28,1990,1758,125.2815804,26,44,1033,25,93,9.393120393,2.3,2.3,0.23,10704,0.63,34664,66,21,35,3,15,94.68310727,17,8,29,3426,327,62,11851,52.2,10708
Alabama,Coosa,Alabama_Coosa,253,25,5.1,5.8,15,24,39,7.1,35,4,9,90,33,891,84.03515233,77.17398427,2,3364,36,41,6887,1043,242,29,86981,584,11,27,60,9.2,10,79,4077,73.9,253,11,115.0238291,16,13,19,1620,890,125.2815804,33,41,828,19,88.27858293,9.393120393,2.5,2.3,0.01,11482,0.66,46509,64,54,20,2,16,94.68310727,10,24.62576375,20,3256,210,76,10650,49.9,11539
Alabama,Covington,Alabama_Covington,899,24,5.1,5.9,11,25,37,6.8,36,55,10,160,40,3608,17,14,28,8809,42,39,22502,4356,738,23,88070,2181,41,125,166,8.6,12,88,14696,72.9,899,26,115.0238291,16,12,49,6730,2070,18,66,38,3323,95,96,6,2.9,2.7,0.09,9790,0.75,43544,56,42,27,13,6,36,42,24.62576375,52,11137,1379,75,36930,51.7,26304
Alabama,Crenshaw,Alabama_Crenshaw,337,25,5.1,5.9,11,24,36,6.5,36,21,9,110,32,1471,2,3,9,5496,40,35,7633,1611,357,26,90947,1074,14,45,66,8.7,9,78,5622,72.6,337,71.92515924,115.0238291,16,13,20,2150,1878,125.2815804,29,39,1338,88,93,9.393120393,2.8,2.6,0.03,9334,0.75,45927,64,16,21,5,7.185520362,94.68310727,15,17,53,3842,437,67,13681,51.4,13906
Alabama,Cullman,Alabama_Cullman,1654,22,4.9,5.8,9,23,33,7.4,34,45,34,192,37,9008,50,41,128,5447,46,43,47782,11204,1650,17,92153,3507,89,106,407,9.3,12,87,34837,73.9,1654,36,37,16,11,66,13610,2287,49,145,37,8408,97,95,14,3.1,3,0.05,9949,0.67,51844,51,88,25,23,4,92,70,11,72,23734,2576,79,84515,50.6,58889
Alabama,Dale,Alabama_Dale,873,23,4.9,5.6,8,22,38,6.5,33,27,11,279,32,4777,12,16,52,4944,43,40,28599,7657,1009,26,91209,3406,56,214,200,8.6,14,83,19546,74.9,873,28,36,15,13,132,8790,4420,13,73,41,4446,74,96,12,2.9,2.7,0.1,9703,0.7,48493,62,32,19,10,6,50,55,10,76,11380,2173,81,48959,51,25572
Alabama,Dallas,Alabama_Dallas,934,29,5.6,6,14,24,47,6.2,41,56,22,348,35,3263,28,12,23,6769,43,38,21500,4742,1570,42,73129,5867,48,380,221,9.1,18,89,13697,71.1,934,17,22,18,17,144,7430,3842,125.2815804,95,44,3055,80,93,18,2.5,2.2,0.32,11203,0.74,37679,83,55,31,22,33,25,78,35,108,8731,2040,72,36098,53.8,19999
Alabama,DeKalb,Alabama_DeKalb,1356,27,5.6,6,8,25,35,7.446606626,41,39,24,214,35,10814,32,20,21,4613,34,42,37691,8831,1388,20,84462,3557,62,196,368,7.1,12,84,29794,73.8,1356,42,45,18,13,61,12300,6057.917337,55,114,39,10032,71,94,10,2.7,2.7,0.16,9314,0.74,47156,66,57,18,14,5,83,68,24.62576375,41,19275,2060,78,71658,50.3,64091
Alabama,Elmore,Alabama_Elmore,1345,21,4.4,5.4,9,20,36,7.6,33,45,22,456,24,5781,19,13,21,4897,46,39,49420,12093,1777,17,115691,4178,91,195,310,9.6,11,86,34897,75.3,1345,44,46,14,12,186,11280,3953,26,106,39,5242,39,91,14,3,3,0.08,9205,0.76,62524,49,32,19,24,8,88,99,24.62576375,86,22400,2814,84,82158,51.7,42973
Alabama,Escambia,Alabama_Escambia,839,28,5.5,6,10,25,39,6.8,39,40,16,253,42,3875,12,14,30,6708,37,36,20653,3662,864,26,72416,3476,52,169,216,8.9,11,91,12374,72.2,839,27,31,18,15,80,6570,2175,36,60,43,3601,74,90,8,2.9,2.7,0.2,10591,0.78,41212,67,29,30,11,13,43,43,24.62576375,65,8593,1391,66,36281,49.8,24337
Alabama,Etowah,Alabama_Etowah,2329,23,4.9,5.8,9,24,35,6.2,34,45,13,623,38,10281,83,52,135,5156,29,38,61597,14027,3126,23,91735,7507,155,619,493,7.7,10,88,42147,72.5,2329,57,62,16,12,189,17250,13991,67,154,39,9523,93,94,6,3,2.8,0.24,9778,0.71,47872,56,64,18,35,6,99,106,14,184,28285,3630,80,102371,51.6,39144
Alabama,Fayette,Alabama_Fayette,365,25,5.3,6.1,10,25,37,7.1,35,26,5,70,36,1508,16,5,2,4470,39,48,9743,1806,326,24,86378,1006,13,408.619451,77,8.9,11,82,6354,73.1,365,71.92515924,115.0238291,17,12,14,3090,74,12,29,40,1390,62,93,9.393120393,2.9,2.7,0.11,10080,0.74,45937,61,51,24,5,7.185520362,21,16,24.62576375,1,5119,604,70,16241,51.1,13833
Alabama,Franklin,Alabama_Franklin,585,26,5.2,5.7,10,23,38,7.1,37,52,6,120,44,3952,14,8,1,7638,35,38,16578,3343,638,23,83670,2572,23,83,138,8.5,10,83,12911,73.7,585,19,115.0238291,17,13,20,5130,1818,12,67,39,3605,67,93,9.393120393,2.6,2.5,0.18,10189,0.76,40448,45,59,32,6,5,22,24,20,56,7828,902,63,31507,50,22309
Alabama,Geneva,Alabama_Geneva,601,25,5.3,6.1,8,25,36,6.6,35,23,9,108,40,3009,8,2,6,4727,40,43,15289,2809,444,32,85950,1573,26,111,112,8.4,12,86,10391,72.6,601,17,115.0238291,17,12,40,5230,1035,15,51,38,2818,23,96,15,3.1,2.9,0.04,9687,0.89,39882,58,20,24,7,7.185520362,22,19,24.62576375,1,7955,1178,71,26411,51.3,24015
Alabama,Greene,Alabama_Greene,210,36,6.3,6.4,16,28,47,4.2,46,4,15,94,46,708,4,77.17398427,1,5988,34,25,4668,872,328,44,54838,1236,8,55,35,9.1,18,73,2270,72.9,210,71.92515924,115.0238291,21,21,29,1850,2058,125.2815804,27,48,655,25,88,9.393120393,2.5,2.6,0.086431034,13273,0.78,33609,84,20,32,1,7.185520362,94.68310727,87.70101277,11,30,2179,363,56,7990,53.5,9045
Alabama,Hale,Alabama_Hale,340,29,5.5,6,12,26,44,6.8,40,26,10,172,34,1335,3,2,4,6246,38,33,8085,1650,572,30,80542,1747,10,29,69,9.2,15,91,5185,72.5,340,14,115.0238291,18,16,60,2510,1099,125.2815804,28,43,1235,61,93,9.393120393,2.8,2.6,0.29,9637,0.59,41836,67,30,26,5,13,11,20,24.62576375,6,4154,637,63,14670,52.8,14053
Alabama,Henry,Alabama_Henry,343,23,4.9,5.7,11,23,39,7.2,35,24,4,101,28,1632,5,5,4,3397,48,37,9829,1918,327,24,98545,837,22,34,72,8.5,9,86,6801,75.5,343,11,115.0238291,16,13,38,2490,1392,125.2815804,25,40,1498,23,98,9.393120393,2.8,2.7,0.09,9270,0.78,51126,55,30,18,8,7.185520362,16,17,27,22,5471,598,78,17223,52,15183
Alabama,Houston,Alabama_Houston,1736,23,4.9,5.7,11,22,40,7.2,36,71,30,734,33,11329,90,71,170,4361,44,45,63299,15657,2497,23,102000,7942,124,508,377,7.6,13,88,44153,75.6,1736,81,86,16,13,350,17160,4308,44,129,40,10648,174,90,10,3,2.8,0.18,9760,0.73,54391,63,47,17,51,8,81,90,30,202,26229,4701,78,106580,52.2,34327
Alabama,Jackson,Alabama_Jackson,1226,24,5.3,6.1,9,24,39,6.8,36,34,17,133,31,5584,28,19,29,4751,47,43,30966,6097,1203,23,86549,2735,48,163,245,8.7,11,86,19369,73.3,1226,22,24,17,12,39,9390,2859,12,109,40,5254,76,92,8,3.1,2.7,0.11,10268,0.69,46606,58,51,18,10,5,60,61,24.62576375,50,15731,1567,75,51582,50.9,40994
Alabama,Jefferson,Alabama_Jefferson,11877,19,4.4,5.2,11,18,34,6.8,30,73,63,5918,25,57398,739,594,1379,4303,45,46,407389,124466,19675,20,115667,54536,953,5623,3551,10.2,16,82,297059,74.1,11877,505,578,13,13,3709,94780,82879,646,754,40,53693,169,91,8,2.8,2.6,0.36,11620,0.77,57802,54,65,21,324,22,462,1024,12,508,166849,36974,83,655342,52.8,64752
Alabama,Lamar,Alabama_Lamar,274,25,5.4,6.1,9,25,36,7.1,37,7,5,51,37,1257,84.03515233,3,2,4035,39,42,8138,1500,278,21,90845,845,10,23,70,9,9,90,5135,75.3,274,71.92515924,115.0238291,17,13,15,2590,61,125.2815804,29,39,1150,65,93,9.393120393,3.1,3.1,0.01,9458,0.87,40204,58,23,27,5,7.185520362,94.68310727,10,7,0,4100,514,65,13764,50.9,14564
Alabama,Lauderdale,Alabama_Lauderdale,1624,21,4.7,5.6,10,21,33,7.2,30,52,14,455,20,8571,51,52,153,4202,41,51,56793,12469,2321,20,95086,4722,129,248,372,8.5,12,86,40603,75.9,1624,32,43,14,11,97,14340,5999,30,138,38,7991,102,94,9.393120393,3.1,3,0.2,11103,0.74,52293,46,50,25,22,6,74,71,19,162,26209,4194,77,93368,52.1,45701
Alabama,Lawrence,Alabama_Lawrence,759,25,5.3,6.1,9,26,36,6.8,35,47,10,99,35,3906,5,3,43,6436,41,37,18904,4143,703,22,96064,1693,38,84,170,8.7,10,89,12880,72.9,759,19,115.0238291,17,12,24,5850,1839,125.2815804,71,39,3592,37,91,9.393120393,2.9,2.7,0.13,10071,0.71,48924,59,70,27,7,6,36,40,24,33,9842,959,67,32857,51.2,31348
Alabama,Lee,Alabama_Lee,1915,20,4.5,5.3,9,18,34,6.8,29,64,28,738,15,14928,80,53,178,3411,36,45,89746,31806,3935,17,111631,9271,144,652,521,9.6,19,83,74480,77.7,1915,90,93,14,12,311,23990,15524,42,150,39,13817,72,91,3,3.1,3,0.1,10221,0.8,58963,44,35,22,37,9,105,146,11,202,38483,9023,85,166831,50.9,38441
Alabama,Limestone,Alabama_Limestone,1429,21,4.5,5.4,9,21,34,7.4,31,55,30,338,22,9428,36,28,51,4999,44,48,57962,15779,1900,14,119634,4000,81,147,292,8.8,11,89,41872,77.1,1429,41,42,14,11,111,13540,5320,15,119,39,8691,61,92,7,2.9,2.8,0.08,9371,0.69,70850,44,43,19,15,6,68,83,8,76,25128,2588,83,102228,50.1,47690
Alabama,Lowndes,Alabama_Lowndes,267,32,5.7,6.1,15,26,46,5.1,43,1,9,90,30,826,1,77.17398427,316.050034,5014,49,37,5665,948,488,38,74323,1154,6,56,63,8.9,17,86,3522,70.3,267,11,115.0238291,19,18,50,1940,2283,125.2815804,26,46,763,31,98,9.393120393,2.2,2.2,0.09,15440,0.76,37499,96,30,32,2,35,94.68310727,31,10,6,3163,713,53,9641,53.4,11299
Alabama,Macon,Alabama_Macon,476,28,5.3,5.7,13,23,40,5.6,39,34,16,222,21,1349,7,5,75,4892,35,33,9971,1993,773,39,77276,1655,13,138,102,9.4,18,85,6910,71.3,476,71.92515924,115.0238291,17,18,99,2890,4741,125.2815804,38,45,1281,101,88,11,2.3,2,0.06,12362,0.81,37736,97,55,34,10,39,94.68310727,44,9,45,4917,922,67,17895,54.7,11916
Alabama,Madison,Alabama_Madison,5088,18,4,4.9,10,16,33,7.4,28,68,72,2845,18,28344,333,207,613,4296,48,45,231504,72447,8668,14,137838,21482,403,2155,1352,7.5,12,85,180009,77.4,5088,176,213,12,11,820,47180,31281,225,333,38,25999,142,95,5,3.2,3,0.13,9710,0.69,67810,37,48,19,133,8,317,332,19,292,102658,15421,88,379453,51.1,55048
Alabama,Marengo,Alabama_Marengo,457,27,5.3,5.8,12,24,44,6.1,40,42,8,148,25,1651,7,5,6,4241,42,37,11129,2089,485,30,84178,2221,31,88,95,9.2,14,86,6840,71,457,15,115.0238291,17,15,26,3350,2785,125.2815804,35,43,1521,75,91,9.393120393,2.7,2.6,0.17,10992,0.52,43198,68,29,25,10,14,12,22,24.62576375,77,5232,806,66,18733,53.1,14575
Alabama,Marion,Alabama_Marion,710,24,5.3,6.1,9,24,36,7,34,40,8,88,39,2816,8,5,5,6674,37,37,17271,3819,661,24,78668,1361,27,89,127,8.7,12,87,11465,73.1,710,20,21,17,12,34,5730,317,125.2815804,49,38,2624,71,92,19,3.1,2.8,0.06,9745,0.75,44333,50,42,25,8,7.185520362,30,31,24.62576375,17,8936,860,70,29703,50.5,27346
Alabama,Marshall,Alabama_Marshall,1855,25,5.1,5.7,8,22,38,6.5,36,50,18,326,45,12136,57,35,261,4199,39,49,53596,12458,1845,25,98484,6434,95,272,420,9.1,14,86,39287,73.9,1855,50,51,16,12,125,16380,9331,54,152,38,11351,96,94,8,2.8,2.8,0.16,9949,0.75,51417,61,48,17,24,4,85,74,15,116,25598,2972,84,96990,50.7,49550
Alabama,Mobile,Alabama_Mobile,7719,23,4.8,5.6,12,21,36,6.8,32,62,122,3351,31,42767,284,211,441,5809,36,42,244268,63704,15121,27,100284,34793,463,2273,1781,8.1,16,86,173223,74.4,7719,265,327,15,13,1906,65300,40126,204,553,41,40452,132,86,9,2.8,2.7,0.26,9972,0.7,50871,68,56,24,170,16,315,521,22,324,100955,20843,78,412716,52.5,82682
Alabama,Monroe,Alabama_Monroe,458,28,5.5,6.1,12,25,41,5.8,41,41,6,117,34,2083,9,5,22,4427,38,38,12262,1611,610,30,80160,2019,26,105,102,9,10,91,6668,73.3,458,13,115.0238291,18,15,34,4240,2614,125.2815804,57,43,1947,44,91,9.393120393,2.5,2.5,0.35,9803,0.62,38812,69,40,31,10,15,10,19,24.62576375,4,5463,992,48,20459,52.6,18234
Alabama,Montgomery,Alabama_Montgomery,3676,23,4.6,5.3,13,20,38,6.8,32,59,51,2569,35,21123,233,177,394,4723,46,38,131646,39851,8368,28,104379,23278,337,1200,828,8.5,18,83,98925,75.2,3676,173,208,14,14,1484,34010,24643,59,228,43,19612,148,87,9,2.5,2.3,0.23,9701,0.79,49607,70,53,24,142,21,129,333,23,438,51588,13819,83,224639,53,24063
Alabama,Morgan,Alabama_Morgan,2250,22,4.7,5.5,9,21,35,7.1,31,56,18,474,35,12379,61,61,193,5105,43,45,69492,15892,2634,20,104107,6583,145,216,533,7.4,12,89,51032,74.2,2250,65,60,15,12,138,17850,9883,63,137,36,11331,83,93,5,2.9,2.7,0.21,10399,0.71,55688,52,55,24,45,9,140,141,24.62576375,196,33496,4409,77,119883,50.9,46120
Alabama,Perry,Alabama_Perry,222,32,6,6.2,14,25,46,4.1,43,52,7,73,22,776,3,2,5,5569,41,27,4484,712,373,44,50784,1287,9,22,43,9,19,80,2350,70.8,222,71.92515924,115.0238291,20,19,28,1870,2949,125.2815804,27,45,723,69,98,9.393120393,2.3,2,0.086431034,11175,0.76,33712,90,42,32,4,7.185520362,94.68310727,10,24.62576375,19,2458,321,54,8687,53.6,10591
Alabama,Pickens,Alabama_Pickens,408,28,5.3,5.8,13,23,40,7.2,38,4,5,122,32,1755,8,4,7,5647,40,46,11919,2504,499,31,89435,1750,21,35,94,9.2,11,84,6705,73.9,408,12,21,17,15,54,3610,296,14,44,42,1611,35,98,9.393120393,2.9,2.6,0.3,10385,0.76,41870,72,31,26,6,7.185520362,10,13,29,21,5870,750,71,19793,50,19746
Alabama,Pike,Alabama_Pike,605,24,5,5.7,11,21,36,6.5,34,61,13,316,17,3498,14,10,22,4306,39,33,16868,4486,772,28,95385,2624,34,188,121,8.8,16,85,13661,73.9,605,15,115.0238291,16,14,118,5640,3452,125.2815804,55,41,3271,94,93,5,2.8,2.9,0.05,10547,0.94,43141,70,24,22,15,13,21,33,36,87,7431,1865,70,32966,52.1,17002
Alabama,Randolph,Alabama_Randolph,486,24,5,5.8,9,23,35,6.5,35,37,19,126,38,2165,5,3,6,3445,32,29,13102,2377,447,27,91567,1337,23,45,111,9,13,87,8698,73.9,486,17,115.0238291,16,12,16,3520,3021,125.2815804,49,38,2017,83,95,9.393120393,2.8,2.6,0.1,9688,0.74,46679,65,38,20,6,7.185520362,28,28,17,22,6856,817,76,22920,51.5,18638
Alabama,Russell,Alabama_Russell,1118,25,5,5.7,11,22,39,6.9,36,59,15,453,33,5473,12,15,28,4599,39,40,33497,10367,1210,32,83844,6012,52,306,308,9.5,17,85,24000,73.4,1118,43,57,16,15,199,9730,3529,43,115,43,5159,33,94,9.393120393,2.7,2.5,0.06,9570,0.69,40821,68,36,32,17,15,53,90,24.62576375,302,14324,3950,74,58237,52.3,18748
Alabama,St. Clair,Alabama_St. Clair,1647,21,4.7,5.6,9,23,35,7.8,32,51,16,303,28,7465,14,27,23,4787,43,43,53455,13425,1986,15,108714,3685,69,261,426,9.7,11,87,39106,74.7,1647,43,42,15,11,120,12680,1984,76,130,37,6927,62,93,7,3,2.9,0.05,9108,0.75,61973,43,35,19,20,5,79,74,14,78,26355,2733,82,90739,50.6,60853
Alabama,Shelby,Alabama_Shelby,2392,16,3.7,4.8,8,15,30,8.2,24,79,27,599,12,15878,182,115,209,3863,46,47,137753,43715,4402,8,141334,8307,233,419,642,10.2,10,84,106989,80.3,2392,87,89,11,9,330,22700,11354,116,172,33,14505,60,95,3,3.2,2.9,0.07,10245,0.74,88444,32,32,14,66,3,148,139,10,148,64906,7135,91,221428,51.7,44762
